Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,-0.000003,0.093358,0,0,0,0,0,0,0
1,204,-0.000003,0.093358,0,0,0,0,0,0,0
2,282,0.000206,0.295633,0,0,0,1,0,0,0
3,314,0.000499,1.135853,0,0,0,1,0,0,0
4,360,0.000797,2.162789,0,0,0,1,0,0,0
5,392,0.001074,2.909652,0,0,0,1,0,0,0
6,423,0.001349,3.407560,0,0,0,1,0,0,0
7,454,0.001629,3.672074,0,0,0,1,0,0,0
8,486,0.001908,3.734312,0,0,0,1,0,0,0
9,532,0.002188,3.672074,0,0,0,1,0,0,0
10,564,0.002466,3.578716,0,0,0,1,0,0,0
11,595,0.002746,3.454239,0,0,0,1,0,0,0
12,626,0.003024,3.360881,0,0,0,1,0,0,0
13,657,0.003304,3.267523,0,0,0,1,0,0,0
14,689,0.003582,3.174165,0,0,0,1,0,0,0
15,720,0.003861,3.111927,0,0,0,1,0,0,0
16,751,0.004140,3.034129,0,0,0,1,0,0,0
17,782,0.004419,2.987450,0,0,0,1,0,0,0
18,814,0.004697,2.925211,0,0,0,1,0,0,0
19,845,0.004976,2.878532,0,0,0,1,0,0,0
20,878,0.005256,2.831853,0,0,0,1,0,0,0
21,925,0.005534,2.785175,0,0,0,1,0,0,0
22,956,0.005814,2.738496,0,0,0,1,0,0,0
23,987,0.006092,2.707376,0,0,0,1,0,0,0
24,1019,0.006371,2.676257,0,0,0,1,0,0,0
25,1050,0.006649,2.629578,0,0,0,1,0,0,0
26,1082,0.006929,2.614019,0,0,0,1,0,0,0
27,1114,0.007207,2.582899,0,0,0,1,0,0,0
28,1145,0.007486,2.567340,0,0,0,1,0,0,0
29,1176,0.007765,2.536221,0,0,0,1,0,0,0
30,1207,0.008044,2.520661,0,0,0,1,0,0,0
31,1238,0.008322,2.489542,0,0,0,1,0,0,0
32,1270,0.008602,2.473982,0,0,0,1,0,0,0
33,1332,0.008880,2.458422,0,0,0,1,0,0,0
34,1364,0.009160,2.442863,0,0,0,1,0,0,0
35,1395,0.009438,2.427303,0,0,0,1,0,0,0
36,1426,0.009717,2.411743,0,0,0,1,0,0,0
37,1457,0.009997,2.396184,0,0,0,1,0,0,0
38,1489,0.010275,2.380624,0,0,0,1,0,0,0
39,1520,0.010554,2.365064,0,0,0,1,0,0,0
40,1551,0.010833,2.333945,0,0,0,1,0,0,0
41,1582,0.011112,2.333945,0,0,0,1,0,0,0
42,1613,0.011390,2.318386,0,0,0,1,0,0,0
43,1645,0.011670,2.287266,0,0,0,1,0,0,0
44,1692,0.011948,2.271707,0,0,0,1,0,0,0
45,1723,0.012228,2.256147,0,0,0,1,0,0,0
46,1754,0.012506,2.256147,0,0,0,1,0,0,0
47,1785,0.012785,2.225028,0,0,0,1,0,0,0
48,1817,0.013063,2.225028,0,0,0,1,0,0,0
49,1848,0.013343,2.209468,0,0,0,1,0,0,0
50,1896,0.013621,2.193908,0,0,0,1,0,0,0
51,1927,0.013900,2.178349,0,0,0,1,0,0,0
52,1959,0.014179,2.162789,0,0,0,1,0,0,0
53,1990,0.014458,2.147230,0,0,0,1,0,0,0
54,2021,0.014737,2.131670,0,0,0,1,0,0,0
55,2052,0.015016,2.100551,0,0,0,1,0,0,0
56,2085,0.015295,2.084991,0,0,0,1,0,0,0
57,2116,0.015574,2.053872,0,0,0,1,0,0,0
58,2147,0.015853,1.976074,0,0,0,1,0,0,0
59,2179,0.016132,1.913835,0,0,0,1,0,0,0
60,2210,0.016411,1.804918,0,0,0,1,0,0,0
61,2257,0.016689,1.680441,0,0,0,1,0,0,0
62,2288,0.016968,1.524844,0,0,0,1,0,0,0
63,2319,0.017246,1.384807,0,0,0,1,0,0,0
64,2350,0.017526,1.244771,0,0,0,1,0,0,0
65,2382,0.017804,1.135853,0,0,0,1,0,0,0
66,2413,0.018083,0.964697,0,0,0,1,0,0,0
67,2444,0.018362,0.326752,0,0,0,1,0,0,0
68,2475,0.018641,0.046679,0,0,0,1,0,0,0
69,2507,0.018920,0.046679,0,0,0,1,0,0,0
70,2554,0.019199,0.046679,0,0,0,1,0,0,0
71,2585,0.019478,0.046679,0,0,0,1,0,0,0
