Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop,force
79,2731,0.021877,3.672074,0,0,0,1,0,0,0,35.9863252
80,2762,0.022156,3.656514,0,0,0,1,0,0,0,35.8338372
81,2793,0.022434,3.640954,0,0,0,1,0,0,0,35.6813492
82,2824,0.022714,3.640954,0,0,0,1,0,0,0,35.6813492
83,2856,0.022992,3.625395,0,0,0,1,0,0,0,35.528871
84,2887,0.023271,3.609835,0,0,0,1,0,0,0,35.376383
85,2934,0.02355,3.625395,0,0,0,1,0,0,0,35.528871
86,2965,0.023829,3.609835,0,0,0,1,0,0,0,35.376383
87,2996,0.024108,3.609835,0,0,0,1,0,0,0,35.376383
88,3027,0.024387,3.594275,0,0,0,1,0,0,0,35.223895
89,3059,0.024666,3.578716,0,0,0,1,0,0,0,35.0714168
90,3090,0.024944,3.563156,0,0,0,1,0,0,0,34.9189288
91,3121,0.025224,3.563156,0,0,0,1,0,0,0,34.9189288
92,3168,0.025502,3.547597,0,0,0,1,0,0,0,34.7664506
93,3199,0.025781,3.547597,0,0,0,1,0,0,0,34.7664506
94,3232,0.02606,3.532037,0,0,0,1,0,0,0,34.6139626
95,3263,0.026339,3.547597,0,0,0,1,0,0,0,34.7664506
96,3294,0.026618,3.547597,0,0,0,1,0,0,0,34.7664506
97,3341,0.026897,3.563156,0,0,0,1,0,0,0,34.9189288
98,3373,0.027175,3.563156,0,0,0,1,0,0,0,34.9189288
99,3404,0.027454,3.547597,0,0,0,1,0,0,0,34.7664506
100,3436,0.027733,3.547597,0,0,0,1,0,0,0,34.7664506
101,3467,0.028012,3.547597,0,0,0,1,0,0,0,34.7664506
102,3499,0.028291,3.532037,0,0,0,1,0,0,0,34.6139626
103,3530,0.02857,3.547597,0,0,0,1,0,0,0,34.7664506
104,3561,0.028849,3.547597,0,0,0,1,0,0,0,34.7664506
105,3592,0.029128,3.563156,0,0,0,1,0,0,0,34.9189288
106,3624,0.029407,3.547597,0,0,0,1,0,0,0,34.7664506
107,3655,0.029685,3.547597,0,0,0,1,0,0,0,34.7664506
108,3702,0.029964,3.547597,0,0,0,1,0,0,0,34.7664506
109,3733,0.030243,3.547597,0,0,0,1,0,0,0,34.7664506
110,3764,0.030522,3.563156,0,0,0,1,0,0,0,34.9189288
111,3795,0.0308,3.578716,0,0,0,1,0,0,0,35.0714168
112,3827,0.031079,3.578716,0,0,0,1,0,0,0,35.0714168
113,3858,0.031357,3.563156,0,0,0,1,0,0,0,34.9189288
114,3889,0.031637,3.578716,0,0,0,1,0,0,0,35.0714168
115,3920,0.031916,3.578716,0,0,0,1,0,0,0,35.0714168
116,3967,0.032195,3.609835,0,0,0,1,0,0,0,35.376383
117,3999,0.032473,3.609835,0,0,0,1,0,0,0,35.376383
118,4030,0.032752,3.609835,0,0,0,1,0,0,0,35.376383
119,4061,0.033031,3.594275,0,0,0,1,0,0,0,35.223895
120,4108,0.033311,3.594275,0,0,0,1,0,0,0,35.223895
121,4139,0.03359,3.594275,0,0,0,1,0,0,0,35.223895
122,4170,0.033868,3.594275,0,0,0,1,0,0,0,35.223895
123,4202,0.034146,3.594275,0,0,0,1,0,0,0,35.223895
124,4233,0.034425,3.594275,0,0,0,1,0,0,0,35.223895
125,4264,0.034704,3.594275,0,0,0,1,0,0,0,35.223895
126,4295,0.034983,3.594275,0,0,0,1,0,0,0,35.223895
127,4327,0.035262,3.594275,0,0,0,1,0,0,0,35.223895
128,4358,0.035541,3.578716,0,0,0,1,0,0,0,35.0714168
129,4389,0.03582,3.578716,0,0,0,1,0,0,0,35.0714168
130,4420,0.036099,3.563156,0,0,0,1,0,0,0,34.9189288
131,4452,0.036378,3.563156,0,0,0,1,0,0,0,34.9189288
132,4498,0.036657,3.547597,0,0,0,1,0,0,0,34.7664506
133,4529,0.036936,3.532037,0,0,0,1,0,0,0,34.6139626
134,4561,0.037214,3.516477,0,0,0,1,0,0,0,34.4614746
135,4592,0.037493,3.516477,0,0,0,1,0,0,0,34.4614746
136,4639,0.037772,3.500918,0,0,0,1,0,0,0,34.3089964
137,4670,0.038051,3.500918,0,0,0,1,0,0,0,34.3089964
138,4702,0.038329,3.485358,0,0,0,1,0,0,0,34.1565084
139,4733,0.038608,3.485358,0,0,0,1,0,0,0,34.1565084
140,4764,0.038887,3.469799,0,0,0,1,0,0,0,34.0040302
141,4795,0.039166,3.469799,0,0,0,1,0,0,0,34.0040302
142,4827,0.039445,3.469799,0,0,0,1,0,0,0,34.0040302
143,4858,0.039724,3.469799,0,0,0,1,0,0,0,34.0040302
144,4905,0.040003,3.469799,0,0,0,1,0,0,0,34.0040302
145,4936,0.040281,3.454239,0,0,0,1,0,0,0,33.8515422
146,4967,0.040561,3.469799,0,0,0,1,0,0,0,34.0040302
147,4998,0.040839,3.454239,0,0,0,1,0,0,0,33.8515422
148,5029,0.041119,3.469799,0,0,0,1,0,0,0,34.0040302
149,5061,0.041397,3.454239,0,0,0,1,0,0,0,33.8515422
150,5092,0.041676,3.469799,0,0,0,1,0,0,0,34.0040302
151,5123,0.041955,3.469799,0,0,0,1,0,0,0,34.0040302
152,5155,0.042234,3.469799,0,0,0,1,0,0,0,34.0040302
153,5186,0.042513,3.485358,0,0,0,1,0,0,0,34.1565084
154,5217,0.042792,3.469799,0,0,0,1,0,0,0,34.0040302
155,5248,0.04307,3.469799,0,0,0,1,0,0,0,34.0040302
156,5311,0.043349,3.469799,0,0,0,1,0,0,0,34.0040302
157,5342,0.043628,3.485358,0,0,0,1,0,0,0,34.1565084
158,5373,0.043907,3.485358,0,0,0,1,0,0,0,34.1565084
159,5405,0.044186,3.500918,0,0,0,1,0,0,0,34.3089964
160,5436,0.044465,3.500918,0,0,0,1,0,0,0,34.3089964
161,5469,0.044744,3.500918,0,0,0,1,0,0,0,34.3089964
162,5500,0.045022,3.516477,0,0,0,1,0,0,0,34.4614746
163,5532,0.045301,3.500918,0,0,0,1,0,0,0,34.3089964
164,5563,0.04558,3.516477,0,0,0,1,0,0,0,34.4614746
165,5594,0.045859,3.516477,0,0,0,1,0,0,0,34.4614746
166,5626,0.046138,3.532037,0,0,0,1,0,0,0,34.6139626
167,5657,0.046418,3.547597,0,0,0,1,0,0,0,34.7664506
168,5688,0.046696,3.578716,0,0,0,1,0,0,0,35.0714168
169,5719,0.046975,3.594275,0,0,0,1,0,0,0,35.223895
170,5766,0.047253,3.625395,0,0,0,1,0,0,0,35.528871
171,5797,0.047532,3.640954,0,0,0,1,0,0,0,35.6813492
172,5829,0.047811,3.640954,0,0,0,1,0,0,0,35.6813492
173,5876,0.04809,3.656514,0,0,0,1,0,0,0,35.8338372
