Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,-0.000002,0.062239,0,0,0,0,0,0,0
1,116,0.000093,0.124477,0,0,0,1,0,0,0
2,163,0.000335,0.949138,0,0,0,1,0,0,0
3,201,0.000640,2.567340,0,0,0,1,0,0,0
4,232,0.000925,4.154422,0,0,0,1,0,0,0
5,263,0.001200,5.383634,0,0,0,1,0,0,0
6,301,0.001478,6.317212,0,0,0,1,0,0,0
7,332,0.001758,6.892918,0,0,0,1,0,0,0
8,364,0.002037,7.157432,0,0,0,1,0,0,0
9,402,0.002316,7.219670,0,0,0,1,0,0,0
10,417,0.002595,7.141872,0,0,0,1,0,0,0
11,449,0.002874,7.017395,0,0,0,1,0,0,0
12,480,0.003153,6.892918,0,0,0,1,0,0,0
13,533,0.003432,6.752882,0,0,0,1,0,0,0
14,565,0.003711,6.612844,0,0,0,1,0,0,0
15,603,0.003989,6.457248,0,0,0,1,0,0,0
16,634,0.004268,6.332771,0,0,0,1,0,0,0
17,665,0.004547,6.208294,0,0,0,1,0,0,0
18,703,0.004826,6.083817,0,0,0,1,0,0,0
19,719,0.005104,5.974900,0,0,0,1,0,0,0
20,750,0.005384,5.865982,0,0,0,1,0,0,0
21,781,0.005662,5.772624,0,0,0,1,0,0,0
22,819,0.005941,5.694826,0,0,0,1,0,0,0
23,850,0.006220,5.601469,0,0,0,1,0,0,0
24,883,0.006499,5.508111,0,0,0,1,0,0,0
25,934,0.006777,5.430313,0,0,0,1,0,0,0
26,966,0.007057,5.352514,0,0,0,1,0,0,0
27,1003,0.007336,5.274716,0,0,0,1,0,0,0
28,1034,0.007614,5.212478,0,0,0,1,0,0,0
29,1066,0.007894,5.134679,0,0,0,1,0,0,0
30,1104,0.008172,5.072441,0,0,0,1,0,0,0
31,1119,0.008451,5.010202,0,0,0,1,0,0,0
32,1150,0.008729,4.963523,0,0,0,1,0,0,0
33,1182,0.009009,4.901285,0,0,0,1,0,0,0
34,1220,0.009288,4.839046,0,0,0,1,0,0,0
35,1251,0.009567,4.776808,0,0,0,1,0,0,0
36,1282,0.009845,4.730129,0,0,0,1,0,0,0
37,1335,0.010124,4.667891,0,0,0,1,0,0,0
38,1367,0.010403,4.621212,0,0,0,1,0,0,0
39,1404,0.010682,4.558973,0,0,0,1,0,0,0
40,1436,0.010961,4.512294,0,0,0,1,0,0,0
41,1467,0.011240,4.434496,0,0,0,1,0,0,0
42,1505,0.011519,4.310019,0,0,0,1,0,0,0
43,1536,0.011798,4.014386,0,0,0,1,0,0,0
44,1567,0.012077,3.640954,0,0,0,1,0,0,0
45,1605,0.012356,3.298643,0,0,0,1,0,0,0
46,1620,0.012635,3.003010,0,0,0,1,0,0,0
47,1652,0.012913,2.754055,0,0,0,1,0,0,0
48,1706,0.013192,2.489542,0,0,0,1,0,0,0
49,1721,0.013471,2.193908,0,0,0,1,0,0,0
50,1752,0.013750,2.022753,0,0,0,1,0,0,0
51,1784,0.014028,1.944954,0,0,0,1,0,0,0
52,1821,0.014308,1.867156,0,0,0,1,0,0,0
53,1852,0.014586,1.804918,0,0,0,1,0,0,0
54,1905,0.014865,1.727119,0,0,0,1,0,0,0
55,1937,0.015144,1.680441,0,0,0,1,0,0,0
56,1968,0.015423,1.633762,0,0,0,1,0,0,0
57,2006,0.015702,1.602642,0,0,0,1,0,0,0
58,2021,0.015981,1.571523,0,0,0,1,0,0,0
59,2053,0.016260,1.540404,0,0,0,1,0,0,0
