Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,-0.000003,0.046679,0,0,0,0,0,0,0
1,169,-0.000003,0.046679,0,0,0,0,0,0,0
2,300,0.000114,0.124477,0,0,0,1,0,0,0
3,338,0.000371,0.793541,0,0,0,1,0,0,0
4,369,0.000676,1.991633,0,0,0,1,0,0,0
5,400,0.000958,3.018569,0,0,0,1,0,0,0
6,438,0.001233,3.749872,0,0,0,1,0,0,0
7,469,0.001511,4.232221,0,0,0,1,0,0,0
8,500,0.001791,4.465615,0,0,0,1,0,0,0
9,538,0.002070,4.527853,0,0,0,1,0,0,0
10,569,0.002349,4.481175,0,0,0,1,0,0,0
11,600,0.002629,4.387817,0,0,0,1,0,0,0
12,638,0.002907,4.278900,0,0,0,1,0,0,0
13,669,0.003187,4.185542,0,0,0,1,0,0,0
14,700,0.003465,4.076624,0,0,0,1,0,0,0
15,739,0.003744,3.983266,0,0,0,1,0,0,0
16,770,0.004022,3.905468,0,0,0,1,0,0,0
17,801,0.004302,3.827670,0,0,0,1,0,0,0
18,839,0.004580,3.749872,0,0,0,1,0,0,0
19,870,0.004859,3.656514,0,0,0,1,0,0,0
20,901,0.005138,3.532037,0,0,0,1,0,0,0
21,939,0.005417,3.329762,0,0,0,1,0,0,0
22,955,0.005696,3.003010,0,0,0,1,0,0,0
23,1003,0.005975,2.598459,0,0,0,1,0,0,0
24,1039,0.006253,2.271707,0,0,0,1,0,0,0
25,1070,0.006533,1.991633,0,0,0,1,0,0,0
26,1101,0.006811,1.773798,0,0,0,1,0,0,0
27,1139,0.007090,1.633762,0,0,0,1,0,0,0
28,1170,0.007369,1.493725,0,0,0,1,0,0,0
29,1201,0.007648,1.353688,0,0,0,1,0,0,0
30,1239,0.007927,1.244771,0,0,0,1,0,0,0
31,1270,0.008205,1.151413,0,0,0,1,0,0,0
32,1301,0.008485,1.073615,0,0,0,1,0,0,0
33,1339,0.008763,0.964697,0,0,0,1,0,0,0
34,1370,0.009042,0.871340,0,0,0,1,0,0,0
35,1402,0.009321,0.777982,0,0,0,1,0,0,0
36,1439,0.009600,0.684624,0,0,0,1,0,0,0
37,1471,0.009879,0.606826,0,0,0,1,0,0,0
38,1502,0.010158,0.513468,0,0,0,1,0,0,0
39,1540,0.010436,0.435670,0,0,0,1,0,0,0
40,1571,0.010716,0.420110,0,0,0,1,0,0,0
41,1602,0.010994,0.388991,0,0,0,1,0,0,0
42,1640,0.011273,0.342312,0,0,0,1,0,0,0
43,1671,0.011552,0.295633,0,0,0,1,0,0,0
44,1687,0.011831,0.233395,0,0,0,1,0,0,0
45,1740,0.012110,0.186716,0,0,0,1,0,0,0
46,1771,0.012389,0.140037,0,0,0,1,0,0,0
47,1803,0.012668,0.000000,0,0,0,1,0,0,0
