Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,-0.000002,0.031119,0,0,0,0,0,0,0
1,31,-0.000002,0.015560,0,0,0,0,0,0,0
2,203,-0.000002,0.015560,0,0,0,0,0,0,0
3,298,0.000171,0.233395,0,0,0,1,0,0,0
4,329,0.000453,1.260330,0,0,0,1,0,0,0
5,361,0.000754,2.660697,0,0,0,1,0,0,0
6,393,0.001032,3.796551,0,0,0,1,0,0,0
7,440,0.001308,4.636771,0,0,0,1,0,0,0
8,471,0.001587,5.212478,0,0,0,1,0,0,0
9,502,0.001868,5.539230,0,0,0,1,0,0,0
10,534,0.002146,5.648147,0,0,0,1,0,0,0
11,565,0.002425,5.663707,0,0,0,1,0,0,0
12,598,0.002704,5.601469,0,0,0,1,0,0,0
13,629,0.002983,5.523670,0,0,0,1,0,0,0
14,660,0.003262,5.430313,0,0,0,1,0,0,0
15,692,0.003541,5.352514,0,0,0,1,0,0,0
16,723,0.003819,5.274716,0,0,0,1,0,0,0
17,754,0.004098,5.181358,0,0,0,1,0,0,0
18,801,0.004378,5.119120,0,0,0,1,0,0,0
19,832,0.004656,5.041322,0,0,0,1,0,0,0
20,863,0.004935,4.979083,0,0,0,1,0,0,0
21,895,0.005214,4.916844,0,0,0,1,0,0,0
22,926,0.005493,4.854606,0,0,0,1,0,0,0
23,957,0.005771,4.792367,0,0,0,1,0,0,0
24,988,0.006051,4.745688,0,0,0,1,0,0,0
25,1019,0.006329,4.714569,0,0,0,1,0,0,0
26,1051,0.006608,4.652331,0,0,0,1,0,0,0
27,1082,0.006887,4.605652,0,0,0,1,0,0,0
28,1129,0.007166,4.574533,0,0,0,1,0,0,0
29,1160,0.007444,4.527853,0,0,0,1,0,0,0
30,1207,0.007724,4.496735,0,0,0,1,0,0,0
31,1238,0.008002,4.450056,0,0,0,1,0,0,0
32,1269,0.008281,4.418936,0,0,0,1,0,0,0
33,1301,0.008561,4.387817,0,0,0,1,0,0,0
34,1332,0.008839,4.341138,0,0,0,1,0,0,0
35,1363,0.009118,4.310019,0,0,0,1,0,0,0
36,1394,0.009397,4.278900,0,0,0,1,0,0,0
37,1426,0.009676,4.247780,0,0,0,1,0,0,0
38,1457,0.009955,4.216661,0,0,0,1,0,0,0
39,1488,0.010234,4.185542,0,0,0,1,0,0,0
40,1519,0.010513,4.169982,0,0,0,1,0,0,0
41,1550,0.010792,4.138863,0,0,0,1,0,0,0
42,1582,0.011070,4.123303,0,0,0,1,0,0,0
43,1629,0.011349,4.107744,0,0,0,1,0,0,0
44,1660,0.011628,4.076624,0,0,0,1,0,0,0
45,1707,0.011907,4.061065,0,0,0,1,0,0,0
46,1740,0.012186,4.029945,0,0,0,1,0,0,0
47,1771,0.012465,4.014386,0,0,0,1,0,0,0
48,1802,0.012744,3.998826,0,0,0,1,0,0,0
49,1833,0.013023,3.983266,0,0,0,1,0,0,0
50,1865,0.013302,3.952147,0,0,0,1,0,0,0
51,1896,0.013580,3.936588,0,0,0,1,0,0,0
52,1927,0.013860,3.921028,0,0,0,1,0,0,0
53,1960,0.014138,3.889909,0,0,0,1,0,0,0
54,1991,0.014417,3.889909,0,0,0,1,0,0,0
55,2022,0.014696,3.858789,0,0,0,1,0,0,0
56,2053,0.014975,3.858789,0,0,0,1,0,0,0
57,2100,0.015254,3.843230,0,0,0,1,0,0,0
58,2131,0.015533,3.827670,0,0,0,1,0,0,0
59,2163,0.015811,3.812110,0,0,0,1,0,0,0
60,2194,0.016091,3.812110,0,0,0,1,0,0,0
61,2225,0.016369,3.796551,0,0,0,1,0,0,0
62,2256,0.016648,3.780991,0,0,0,1,0,0,0
63,2288,0.016926,3.780991,0,0,0,1,0,0,0
64,2319,0.017205,3.765432,0,0,0,1,0,0,0
65,2350,0.017485,3.765432,0,0,0,1,0,0,0
66,2397,0.017763,3.749872,0,0,0,1,0,0,0
67,2428,0.018042,3.765432,0,0,0,1,0,0,0
68,2459,0.018321,3.765432,0,0,0,1,0,0,0
69,2506,0.018600,3.765432,0,0,0,1,0,0,0
70,2538,0.018878,3.749872,0,0,0,1,0,0,0
71,2569,0.019158,3.765432,0,0,0,1,0,0,0
72,2600,0.019437,3.765432,0,0,0,1,0,0,0
73,2631,0.019716,3.749872,0,0,0,1,0,0,0
74,2663,0.019994,3.765432,0,0,0,1,0,0,0
75,2694,0.020273,3.765432,0,0,0,1,0,0,0
76,2725,0.020552,3.765432,0,0,0,1,0,0,0
77,2756,0.020831,3.765432,0,0,0,1,0,0,0
78,2787,0.021110,3.765432,0,0,0,1,0,0,0
79,2819,0.021389,3.749872,0,0,0,1,0,0,0
80,2850,0.021667,3.749872,0,0,0,1,0,0,0
81,2897,0.021946,3.749872,0,0,0,1,0,0,0
82,2928,0.022225,3.749872,0,0,0,1,0,0,0
83,2959,0.022504,3.749872,0,0,0,1,0,0,0
84,2990,0.022783,3.749872,0,0,0,1,0,0,0
85,3022,0.023062,3.765432,0,0,0,1,0,0,0
86,3069,0.023341,3.780991,0,0,0,1,0,0,0
87,3101,0.023619,3.780991,0,0,0,1,0,0,0
88,3133,0.023899,3.812110,0,0,0,1,0,0,0
89,3164,0.024177,3.827670,0,0,0,1,0,0,0
90,3195,0.024457,3.843230,0,0,0,1,0,0,0
91,3226,0.024735,3.874349,0,0,0,1,0,0,0
92,3273,0.025014,3.889909,0,0,0,1,0,0,0
93,3306,0.025293,3.921028,0,0,0,1,0,0,0
94,3337,0.025572,3.952147,0,0,0,1,0,0,0
95,3368,0.025850,3.983266,0,0,0,1,0,0,0
96,3400,0.026130,4.014386,0,0,0,1,0,0,0
97,3431,0.026408,4.045505,0,0,0,1,0,0,0
98,3462,0.026687,4.061065,0,0,0,1,0,0,0
99,3493,0.026967,4.092184,0,0,0,1,0,0,0
100,3525,0.027245,4.107744,0,0,0,1,0,0,0
101,3556,0.027523,4.138863,0,0,0,1,0,0,0
102,3587,0.027803,4.138863,0,0,0,1,0,0,0
103,3618,0.028082,4.138863,0,0,0,1,0,0,0
104,3665,0.028360,4.154422,0,0,0,1,0,0,0
105,3696,0.028640,4.123303,0,0,0,1,0,0,0
106,3728,0.028918,4.076624,0,0,0,1,0,0,0
107,3759,0.029198,4.014386,0,0,0,1,0,0,0
108,3790,0.029476,3.874349,0,0,0,1,0,0,0
109,3821,0.029756,3.656514,0,0,0,1,0,0,0
110,3868,0.030034,3.174165,0,0,0,1,0,0,0
111,3900,0.030313,0.046679,0,0,0,1,0,0,0
